Name,Country,DoB,PlayerNo
David Seaman,England,19/09/1963,1
Alan Miller,England,29/03/1970,2
Tony Adams,England,10/10/1966,3
Colin Pates,England,10/08/1961,4
Gavin McGowan,England,16/01/1976,5
Pal Lydersen,Norway,10/09/1965,6
Steve Morrow,Northern Ireland,02/07/1970,7
David O'Leary,Ireland,02/05/1958,8
Steve Bould,England,16/11/1962,9
Scott Marshall,Scotland,01/05/1973,10
Nigel Winterburn,England,11/12/1963,11
Andy Linighan,England,18/06/1962,12
Lee Dixon,England,17/03/1964,13
Martin Keown,England,24/07/1966,14
Jimmy Carter,England,09/11/1965,15
Mark Flatts,England,14/10/1972,16
John Jensen,Denmark,03/05/1965,17
David Hillier,England,19/12/1969,18
Ray Parlour,England,07/03/1973,19
Ian Selley,England,14/06/1974,20
Paul Davis,England,09/12/1961,21
Anders Limpar,Sweden,24/09/1965,22
Paul Merson,England,20/03/1968,23
Paul Shaw,England,04/09/1973,24
Kevin Campbell,England,04/02/1970,25
Alan Smith,England,21/11/1962,26
Paul Dickov,Scotland,01/11/1972,27
Neil Heaney,England,11/08/1972,28
Ian Wright,England,03/11/1963,29
Mark Bosnich,Australia,13/01/1972,32
Nigel Spink,England,08/08/1958,33
Michael Oakes,England,30/10/1973,34
Ugo Ehiogu,England,03/11/1972,35
Dariusz Kubicki,Poland,06/06/1963,36
Paul McGrath,Ireland,04/12/1959,37
Earl Barrett,England,28/04/1967,38
Shaun Teale,England,10/03/1964,39
Neil Cox,England,08/10/1971,40
Steve Staunton,Ireland,19/01/1969,41
Bryan Small,England,15/11/1971,42
Kevin Richardson,England,04/12/1962,43
Mark Blake,England,16/12/1970,44
Gareth Farrelly,Ireland,28/08/1975,45
Stephen Froggatt,England,03/09/1973,46
Ray Houghton,Ireland,06/01/1962,47
Garry Parker,England,07/09/1965,48
David Farrell,England,11/11/1971,49
Stefan Beinlich,Germany,13/01/1972,50
Matthias Breitkreutz,Germany,12/05/1971,51
Tony Daley,England,18/10/1967,52
Chris Boden,England,13/10/1973,53
Neil Davis,England,15/08/1973,54
Martin Carruthers,England,07/08/1972,55
Henrik Larsen,Denmark,17/05/1966,56
Graham Fenton,England,22/05/1974,57
Frank McAvennie,Scotland,22/11/1959,58
Dwight Yorke,Trinidad And Tobago,03/11/1971,59
Dean Saunders,Wales,21/06/1964,60
Cyrille Regis,England,09/02/1958,61
Dalian Atkinson,England,21/03/1968,62
Bobby Mimms,England,12/10/1963,64
Matt Dickins,England,03/09/1970,65
Frank Talia,Australia,20/07/1972,66
David May,England,24/06/1970,67
Nicky Marker,England,03/05/1965,68
Tony Dobson,England,05/02/1969,69
Graeme Le Saux,England,17/10/1968,70
Kevin Moran,Ireland,29/04/1956,71
Alan Wright,England,28/09/1971,72
Patrik Andersson,Sweden,18/08/1971,73
Henning Berg,Norway,01/09/1969,74
Colin Hendry,Scotland,07/12/1965,75
Richard Brown,England,13/01/1967,76
Simon Ireland,England,23/11/1971,77
Tim Sherwood,England,06/02/1969,78
Stuart Ripley,England,20/11/1967,79
Jason Wilcox,England,15/07/1971,80
Chris Price,England,30/03/1960,81
Wayne Burnett,England,04/09/1971,82
Mark Atkins,England,14/09/1968,83
Gordon Cowans,England,27/10/1958,84
Lee Makel,England,11/01/1973,85
Mike Newell,England,27/01/1965,86
Kevin Gallacher,Scotland,23/11/1966,87
Peter Thorne,England,21/06/1973,88
Alan Shearer,England,13/08/1970,89
Dave Beasant,England,20/03/1959,91
Kevin Hitchcock,England,05/10/1962,92
Dmitri Kharin,Russia,16/08/1968,93
Nick Colgan,Ireland,19/09/1973,94
Nigel Spackman,England,02/12/1960,95
Ian Pearce,England,07/05/1974,96
Paul Elliott,England,18/03/1964,97
Darren Barnard,Wales,30/11/1971,98
Gareth Hall,Wales,20/03/1969,99
Mal Donaghy,Northern Ireland,13/09/1957,100
Erland Johnsen,Norway,05/04/1967,101
Andy Myers,England,03/11/1973,102
Frank Sinclair,Jamaica,03/12/1971,103
Anthony Barness,England,25/02/1973,104
Steve Clarke,Scotland,29/08/1963,105
David Lee,England,26/11/1969,106
Dennis Wise,England,16/12/1966,107
David Hopkin,Scotland,21/08/1970,108
Craig Burley,Scotland,24/09/1971,109
Eddie Newton,England,13/12/1971,110
Graham Stuart,England,24/10/1970,111
Andy Townsend,Ireland,23/07/1963,112
Alan Dickens,England,03/09/1964,113
Damian Matthew,England,23/09/1970,114
Tony Cascarino,Ireland,01/09/1962,115
Neil Shipperley,England,30/10/1974,116
John Spencer,Scotland,11/09/1970,117
Steve Livingstone,England,08/09/1969,118
Robert Fleck,Scotland,11/08/1965,119
Steve Ogrizovic,England,12/09/1957,122
Jonathan Gould,Scotland,18/07/1968,123
David Rennie,Scotland,29/08/1964,124
Peter Atherton,England,06/04/1970,125
Chris Greenman,England,22/12/1968,126
David Busst,Scotland,30/06/1967,127
Phil Babb,Ireland,30/11/1970,128
Andy Pearce,England,20/04/1966,129
Brian Borrows,England,20/12/1960,130
Ray Woods,England,07/06/1965,131
Lloyd McGrath,England,24/02/1965,132
Sean Flynn,England,13/03/1968,133
Mike Flynn,England,23/02/1969,134
Stewart Robson,England,06/11/1964,135
Willie Boland,Ireland,06/08/1975,136
Lee Hurst,England,21/09/1970,137
John Williams,England,05/11/1968,138
Roy Wegerle,United States,19/03/1964,139
Leigh Jenkinson,England,09/07/1969,140
Tony Sheridan,Ireland,21/10/1974,141
Mick Quinn,England,17/12/1962,142
Peter Ndlovu,Zimbabwe,25/02/1973,143
Jimmy Glass,England,01/08/1973,145
Nigel Martyn,England,11/08/1966,146
John Humphrey,England,31/01/1961,147
Andy Thorn,England,12/11/1966,148
Paul Williams,England,16/08/1965,149
Eric Young,Wales,25/03/1960,150
Dean Gordon,England,10/02/1973,151
Chris Coleman,Wales,10/06/1970,152
Gareth Southgate,England,03/09/1970,153
Richard Shaw,England,11/09/1968,154
Bobby Bowry,England,19/05/1971,155
Eddie McGoldrick,Ireland,30/04/1965,156
Stuart Massey,England,17/11/1964,157
Paul Mortimer,England,08/05/1968,158
John Salako,England,11/02/1969,159
Simon Rodger,England,03/10/1971,160
Lee Sinnott,England,12/07/1965,161
Ricky Newman,England,05/08/1970,162
Louie Donowa,England,24/09/1964,163
Martyn O'Connor,England,10/12/1967,164
Geoff Thomas,England,05/08/1964,165
Lou Macari,Scotland,30/07/1943,166
Chris Armstrong,England,19/06/1971,167
George Ndah,England,23/12/1974,168
Grant Watts,England,05/11/1973,169
Jason Kearton,Australia,09/07/1969,171
Neville Southall,Wales,16/09/1958,172
Gerry Peyton,Ireland,20/05/1956,173
Dave Watson,England,20/11/1961,174
Iain Jenkins,Northern Ireland,24/11/1972,175
Neil Moore,England,21/09/1972,176
Matt Jackson,England,19/10/1971,177
Kenny Sansom,England,26/09/1958,178
Andy Hinchcliffe,England,05/02/1969,179
Gary Ablett,England,19/11/1965,180
David Unsworth,England,16/10/1973,181
Paul Holmes,England,18/02/1968,182
Alan Harper,England,01/11/1960,183
Mark Ward,England,10/10/1962,184
Billy Kenny,England,19/09/1973,185
Barry Horne,Wales,18/05/1962,186
Peter Beagrie,England,28/11/1965,187
John Doolan,England,07/05/1974,188
Ian Snodin,England,15/08/1963,189
Robert Warzycha,Poland,20/08/1963,190
Preki,United States,24/06/1963,191
John Ebbrell,England,01/10/1969,192
Tony Cottee,England,11/07/1965,193
Peter Beardsley,England,18/01/1961,194
Stuart Barlow,England,16/07/1968,195
Paul Rideout,England,14/08/1964,196
Mo Johnston,Scotland,13/04/1963,197
Clive Baker,England,14/03/1959,199
Craig Forrest,Canada,20/09/1967,200
Frank Yallop,Canada,04/04/1964,201
Steve Palmer,England,31/03/1968,202
Geraint Williams,Wales,05/01/1962,203
John Wark,Scotland,04/08/1957,204
Neil Thompson,England,02/10/1963,205
David Linighan,England,09/01/1965,206
Eddie Youds,England,03/05/1970,207
Phil Whelan,England,07/08/1972,208
Gavin Johnson,England,10/10/1970,209
Glenn Pennyfather,England,11/02/1963,210
Simon Milton,England,23/08/1963,211
Jason Dozzell,England,09/12/1967,212
David Gregory,England,23/01/1970,213
Steve Whitton,England,04/12/1960,214
Adam Tanner,England,25/10/1973,215
Mick Stockwell,England,14/02/1965,216
Lee Durrant,England,18/12/1973,217
Vlado Bozinoski,Macedonia,30/03/1964,218
Paul Goddard,England,12/10/1959,219
Neil Gregory,Zambia,07/10/1972,220
Bontcho Guenchev,Bulgaria,07/07/1964,221
Chris Kiwomya,England,02/12/1969,222
Paul Pettinger,England,01/10/1975,224
John Lukic,England,11/12/1960,225
Mark Beeney,England,30/12/1967,226
Rob Bowman,England,21/11/1975,227
David Wetherall,England,14/03/1971,228
Tony Dorigo,England,31/12/1965,229
David Kerslake,England,19/06/1966,230
Jon Newsome,England,06/09/1970,231
Kevin Sharp,Canada,19/09/1974,232
Dylan Kerr,Malta,14/01/1967,233
Chris Fairclough,England,12/04/1964,234
Frank Strandli,Norway,16/05/1972,235
Ray Wallace,England,02/10/1969,236
David Rocastle,England,02/05/1967,237
Gary McAllister,Scotland,25/12/1964,238
Gary Speed,Wales,08/09/1969,239
Steve Hodge,England,25/10/1962,240
Mark Tinkler,England,24/10/1974,241
Gordon Strachan,Scotland,09/02/1957,242
David Batty,England,12/12/1968,243
Carl Shutt,England,10/10/1961,244
Noel Whelan,England,30/12/1974,245
Lee Chapman,England,05/12/1959,246
Jamie Forrester,England,01/11/1974,247
Rod Wallace,England,02/10/1969,248
Mike Hooper,England,10/02/1964,250
Bruce Grobbelaar,Zimbabwe,06/10/1957,251
David James,England,01/08/1970,252
Steve Nicol,Scotland,11/12/1961,253
Steve Harkness,England,27/08/1971,254
Nicky Tanner,England,24/05/1965,255
David Burrows,England,25/10/1968,256
Torben Piechnik,Denmark,21/05/1963,257
Mark Wright,England,01/08/1963,258
Dominic Matteo,Scotland,28/04/1974,259
Stig Inge Bjornebye,Norway,12/11/1969,260
Rob Jones,England,05/11/1971,261
Jamie Redknapp,England,25/06/1973,262
Michael Thomas,England,24/08/1967,263
Mike Marsh,England,21/07/1969,264
Phil Charnock,England,14/02/1975,265
Mark Walters,England,06/02/1964,266
Jan Mølby,Denmark,04/07/1963,267
Istvan Kozma,Hungary,03/12/1964,268
John Barnes,England,07/11/1963,269
Ronnie Whelan,Ireland,25/09/1961,270
Steve McManaman,England,11/02/1972,271
Don Hutchison,Scotland,09/05/1971,272
Lee Jones,Wales,19/05/1973,273
Ronnie Rosenthal,Israel,11/10/1963,274
Ian Rush,Wales,20/10/1961,275
Paul Stewart,England,07/10/1964,276
Robbie Fowler,England,09/04/1975,277
Tony Coton,England,19/05/1961,279
Andy Dibble,England,08/05/1965,280
Martyn Margetson,Wales,08/09/1971,281
Keith Curle,England,14/11/1963,282
Ray Ranson,England,12/06/1960,283
Kare Ingebrigtsen,Norway,11/11/1965,284
Ian Brightwell,England,09/04/1968,285
David Brightwell,England,07/01/1971,286
Michel Vonk,Netherlands,28/10/1968,287
Scott Thomas,England,30/10/1974,288
John Foster,England,19/09/1973,289
Richard Edghill,England,23/09/1974,290
Terry Phelan,Ireland,16/03/1967,291
Andy Hill,England,20/01/1965,292
Steve Lomas,Northern Ireland,18/01/1974,293
Steve McMahon,England,20/08/1961,294
David White,England,30/10/1967,295
Richard Holden,England,09/09/1964,296
Fitzroy Simpson,Jamaica,26/02/1970,297
David Kerr,Scotland,06/09/1974,298
Mike Quigley,England,02/10/1970,299
Garry Flitcroft,England,06/11/1972,300
Peter Reid,England,20/06/1956,301
Paul Lake,England,28/10/1968,302
Adie Mike,England,16/11/1973,303
Niall Quinn,Ireland,06/10/1966,304
Mike Sheron,England,11/01/1972,305
Peter Schmeichel,Denmark,18/11/1963,307
Kevin Pilkington,England,08/03/1974,308
Gary Walsh,England,21/03/1968,309
Les Sealey,England,29/09/1957,310
Brian Carey,Ireland,31/05/1968,311
Neil Whitworth,England,12/04/1972,312
John O'Kane,England,15/11/1974,313
Pat McGibbon,Northern Ireland,06/09/1973,314
Denis Irwin,Ireland,31/10/1965,315
Lee Martin,England,05/02/1968,316
Paul Parker,England,04/04/1964,317
Chris Casper,England,28/04/1975,318
Steve Bruce,England,31/12/1960,319
Gary Pallister,England,30/06/1965,320
Gary Neville,England,18/02/1975,321
Bryan Robson,England,11/01/1957,322
Darren Ferguson,Scotland,09/02/1972,323
Andrei Kanchelskis,Russia,23/01/1969,324
Clayton Blackmore,Wales,23/09/1964,325
Paul Ince,England,21/10/1967,326
Ben Thornley,England,21/04/1975,327
Lee Sharpe,England,27/05/1971,328
Keith Gillespie,Northern Ireland,18/02/1975,329
Mike Phelan,England,24/09/1962,330
David Beckham,England,02/05/1975,331
Nicky Butt,England,21/01/1975,332
Simon Davies,Wales,23/04/1974,333
Russell Beardsmore,England,28/09/1968,334
Ryan Giggs,Wales,29/11/1973,335
Paul Scholes,England,16/11/1974,336
Brian McClair,Scotland,08/12/1963,337
Dion Dublin,England,22/04/1969,338
Mark Hughes,Wales,01/11/1963,339
Colin McKee,Scotland,22/08/1973,340
Danny Wallace,England,21/01/1964,341
Eric Cantona,France,24/05/1966,342
Steve Pears,England,22/01/1962,345
Ian Ironside,England,08/03/1964,346
Andy Collett,England,28/10/1973,347
Jon Gittens,England,22/01/1964,348
Curtis Fleming,Ireland,08/10/1968,349
Nicky Mohan,England,06/10/1970,350
Michael Barron,England,22/12/1974,351
Alan Kernaghan,Ireland,25/04/1967,352
Andy Peake,England,01/10/1961,353
Derek Whyte,Scotland,31/08/1968,354
Jimmy Phillips,England,08/02/1966,355
Andrew Todd,England,21/09/1974,356
Chris Kamara,England,25/12/1957,357
Graham Kavanagh,Ireland,02/12/1973,358
Phil Stamp,England,12/12/1975,359
Alan Moore,Ireland,25/11/1974,360
Chris Morris,Ireland,24/12/1963,361
Jamie Pollock,England,16/02/1974,362
Robbie Mustoe,England,28/08/1968,363
Dwight Marshall,England,03/10/1965,364
Craig Hignett,England,12/01/1970,365
John Hendrie,Scotland,24/10/1963,366
Willie Falconer,Scotland,04/05/1966,367
Paul Wilkinson,England,30/10/1964,368
Tommy Wright,Scotland,10/01/1966,369
Bryan Gunn,Scotland,22/12/1963,371
John Polston,England,10/06/1968,372
Daryl Sutch,England,11/09/1971,373
